precio,cantidad,descuento,total_venta,categoria,metodo_pago,cliente,producto,comentarios,descripcion_producto,fecha
1794.24,8,0.15,5975.32,Belleza,Tarjeta,"{'nombre': 'Julia Skinner', 'edad': 28, 'ciudad': 'Querétaro'}","{'nombre': 'choose', 'marca': 'Velasquez-Rivera', 'stock': 92}",Lead issue figure pass believe fish allow. Black special figure technology.,Hair cold goal watch middle. Wait past bring see stand back modern into.,2025-12-06
1781.58,3,0.08,7787.98,Electrónica,Transferencia,"{'nombre': 'Larry Blackwell', 'edad': 49, 'ciudad': 'Guadalajara'}","{'nombre': 'truth', 'marca': 'Taylor, Rice and Ruiz', 'stock': 88}",Character sport own travel. Community focus movie scene.,Reason inside maintain example nearly girl. Authority feeling tend go under citizen. Other section money strategy.,2025-04-22
516.5,6,0.25,2103.3,Ropa,PayPal,"{'nombre': 'James Shepherd', 'edad': 48, 'ciudad': 'Querétaro'}","{'nombre': 'effect', 'marca': 'Taylor-Bennett', 'stock': 73}",Goal without year attorney else mean development. Choice mind account community necessary begin.,Congress draw else people woman low. Interest state particularly only from international here.,2025-05-03
1764.09,1,0.06,5854.32,Hogar,PayPal,"{'nombre': 'Keith Woods', 'edad': 41, 'ciudad': 'CDMX'}","{'nombre': 'authority', 'marca': 'Johns PLC', 'stock': 44}",Above character international. Her meeting reality case.,Line final pass very station. Trouble investment catch statement civil event employee. Need board will commercial ball article.,2025-11-25
1146.76,4,0.11,2396.53,Belleza,Tarjeta,"{'nombre': 'Jacqueline Bowen', 'edad': 31, 'ciudad': 'Guadalajara'}","{'nombre': 'evidence', 'marca': 'Green, Hampton and Parker', 'stock': 62}",Card look suffer during there perform face. It step plant eye staff stuff.,"Several any attorney bag imagine all. Face down he economy old training easy.
What moment pay deal feel. Oil improve lead street cup produce.",2025-04-23
688.58,7,0.06,3023.89,Deportes,Efectivo,"{'nombre': 'Karla Barnes', 'edad': 53, 'ciudad': 'Puebla'}","{'nombre': 'avoid', 'marca': 'Atkins, Tran and Cabrera', 'stock': 22}",Man example traditional shake arrive. Buy police street phone wall son party.,"Music realize Mrs list. Chance order black response.
Test hotel would.",2025-12-02
4694.35,3,0.01,9644.14,Belleza,PayPal,"{'nombre': 'Gabriel Wilson', 'edad': 24, 'ciudad': 'Guadalajara'}","{'nombre': 'executive', 'marca': 'Martinez, Barnes and Dean', 'stock': 84}",Movie avoid several local various popular else. Model today American change.,Air worry with consumer I development high. May computer tax home want. Report against support move. Become cut kid writer.,2025-05-07
313.13,7,0.21,581.46,Deportes,Transferencia,"{'nombre': 'Jerome Hodges Jr.', 'edad': 33, 'ciudad': 'CDMX'}","{'nombre': 'alone', 'marca': 'Anderson, Leonard and Brown', 'stock': 59}",Within focus life. Get report truth rich practice visit. Read nor together class read type better.,Customer whether amount at her. Music number enter class interview what training task. Tend return series east tree future try.,2025-07-02
1897.9,8,0.03,7108.36,Ropa,Transferencia,"{'nombre': 'Leon Fernandez', 'edad': 43, 'ciudad': 'Monterrey'}","{'nombre': 'front', 'marca': 'Norman LLC', 'stock': 34}",Well under most over tend along. Political poor result same region move produce.,Crime far whether heart base fear.,2025-11-10
4519.08,1,0.21,2632.6,Deportes,Efectivo,"{'nombre': 'Natalie Parker', 'edad': 55, 'ciudad': 'Guadalajara'}","{'nombre': 'total', 'marca': 'Davis PLC', 'stock': 28}",Traditional thus true right large few leave set. Environmental poor everything while raise her.,"Skill recent raise ability address exactly.
Feel research assume official president country. Spring politics reason challenge future my despite.",2025-06-30
1845.78,5,0.09,8911.65,Deportes,Efectivo,"{'nombre': 'Leah Roach', 'edad': 18, 'ciudad': 'CDMX'}","{'nombre': 'but', 'marca': 'Johnson-Garrett', 'stock': 94}",Politics positive occur. Several Democrat system ground budget check range sister.,"Time agent again already hear lay low he.
Around time war school.",2025-12-08
2158.71,3,0.13,6238.63,Belleza,Transferencia,"{'nombre': 'Michelle Alexander', 'edad': 35, 'ciudad': 'Puebla'}","{'nombre': 'close', 'marca': 'Meyer-Werner', 'stock': 10}",Education region enjoy discover father cell. Ten fight economy once argue training.,"Hundred last task bed option size. Do business cell face and middle simple.
Sense physical shoulder. Check spring figure describe.",2026-02-10
2968.83,4,0.25,7578.68,Electrónica,Tarjeta,"{'nombre': 'Candice Gallegos', 'edad': 20, 'ciudad': 'Querétaro'}","{'nombre': 'audience', 'marca': 'Blanchard Group', 'stock': 51}",Seven bad history scene.,Apply cover cost allow audience born. Cultural shake eye. Director general night society nor billion read. Reveal fish meet daughter claim feel.,2025-11-06
1431.58,7,0.21,6656.3,Deportes,Efectivo,"{'nombre': 'Lindsey Wilson', 'edad': 32, 'ciudad': 'Monterrey'}","{'nombre': 'your', 'marca': 'Mosley PLC', 'stock': 86}",Magazine push well heart. Open keep local direction another.,Finish field even sea decade. Address realize traditional our ago day. Anyone without responsibility message.,2025-10-03
190.67,4,0.12,7980.85,Ropa,Transferencia,"{'nombre': 'Sophia Nicholson', 'edad': 34, 'ciudad': 'Querétaro'}","{'nombre': 'herself', 'marca': 'Gomez-Martinez', 'stock': 27}",Site fear term large finally. Able allow worker. Pm allow fine cultural half mouth.,Smile cut food. Again black election hair such attorney language guess. Glass lawyer possible home option.,2025-07-29
3913.44,3,0.28,8831.71,Electrónica,Efectivo,"{'nombre': 'Angela Barry', 'edad': 59, 'ciudad': 'Querétaro'}","{'nombre': 'call', 'marca': 'Mcmahon Inc', 'stock': 33}","Lay whose radio response action environmental build ball.
Race whole week.",Reality arrive one must debate shoulder color white.,2025-08-01
1186.51,8,0.25,8116.86,Ropa,Tarjeta,"{'nombre': 'Jodi Wright', 'edad': 34, 'ciudad': 'Monterrey'}","{'nombre': 'article', 'marca': 'Hughes Group', 'stock': 44}",Attack wait camera animal bring carry reflect push.,Do day someone child attorney. Life floor when which choose of.,2025-09-04
860.11,3,0.17,3277.0,Deportes,Transferencia,"{'nombre': 'Mark Duke', 'edad': 18, 'ciudad': 'Querétaro'}","{'nombre': 'authority', 'marca': 'Ibarra, Brown and Smith', 'stock': 28}",Six add including care daughter.,Leg role drug Mrs. Foreign share company world determine toward my. Education everything bed rather.,2025-06-10
2660.68,7,0.11,3600.76,Belleza,PayPal,"{'nombre': 'Michelle Mercado', 'edad': 25, 'ciudad': 'Monterrey'}","{'nombre': 'rule', 'marca': 'Martinez and Sons', 'stock': 53}",Future charge Congress set. Add future well agreement piece. Around life become lay.,Return similar fund from best maintain finish certain. Bed throughout enough shake. How buy future strategy buy change.,2025-11-11
2911.14,5,0.25,4735.92,Hogar,PayPal,"{'nombre': 'James Prince', 'edad': 39, 'ciudad': 'Monterrey'}","{'nombre': 'wind', 'marca': 'Weaver Inc', 'stock': 21}",Firm purpose worker mouth trip left. Tell focus well authority soldier military music.,Still certainly this develop suddenly human painting. Behavior including reach moment other moment room. Own somebody natural computer keep final.,2025-05-28
